,image_path,label
0,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48743.png,0
25,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48711.png,0
26,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48639.png,0
27,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48622.png,0
29,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48616.png,0
30,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48649.png,0
31,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48669.png,0
32,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48735.png,0
34,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48734.png,0
37,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48705.png,0
38,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48729.png,0
39,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48803.png,0
40,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48777.png,0
41,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48712.png,0
42,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48623.png,0
43,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48770.png,0
44,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48706.png,0
24,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48631.png,0
23,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48759.png,0
33,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48661.png,0
21,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48688.png,0
22,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48690.png,0
2,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48709.png,0
5,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48643.png,0
9,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48675.png,0
10,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48633.png,0
7,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48793.png,0
19,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48682.png,0
12,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48665.png,0
15,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48656.png,0
16,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48721.png,0
17,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48678.png,0
18,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48804.png,0
11,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48687.png,0
20,/face_recognition/facescrub_images/Richard_Madden/Richard_Madden_48642.png,0
78,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49862.png,1
77,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49821.png,1
76,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49833.png,1
75,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49855.png,1
73,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49756.png,1
72,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49950.png,1
79,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49763.png,1
74,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49944.png,1
80,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49795.png,1
83,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49845.png,1
84,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49916.png,1
85,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49870.png,1
86,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49764.png,1
87,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49809.png,1
88,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49892.png,1
90,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49871.png,1
70,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49859.png,1
81,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49912.png,1
56,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49947.png,1
67,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49766.png,1
68,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49772.png,1
46,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49936.png,1
47,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49917.png,1
49,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49890.png,1
52,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49847.png,1
54,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49888.png,1
55,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49805.png,1
45,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49768.png,1
57,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49810.png,1
65,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49820.png,1
64,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49873.png,1
63,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49812.png,1
62,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49788.png,1
60,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49784.png,1
59,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49851.png,1
58,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49822.png,1
61,/face_recognition/facescrub_images/Robert_Knepper/Robert_Knepper_49836.png,1
124,/face_recognition/facescrub_images/John_Malkovich/John_Malkovich_32786.png,2
116,/face_recognition/facescrub_images/John_Malkovich/John_Malkovich_32859.png,2
117,/face_recognition/facescrub_images/John_Malkovich/John_Malkovich_32977.png,2
118,/face_recognition/facescrub_images/John_Malkovich/John_Malkovich_32858.png,2
120,/face_recognition/facescrub_images/John_Malkovich/John_Malkovich_32970.png,2
121,/face_recognition/facescrub_images/John_Malkovich/John_Malkovich_32890.png,2
